Statistic_Label,Census_Year,Sex,Regular_Unpaid_Help,Age_Group,Present_Economic_Status,Unit,Value
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Unemployed having lost or given up previous job,Number,663
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Student or pupil,Number,97
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Looking after home/family,Number,1102
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Retired,Number,11
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Unable to work due to permanent sickness or disability,Number,169
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,25 - 44 years,Other economic status,Number,54
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,All persons aged 15 years and over,Number,7108
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Employer or own account worker,Number,778
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Employee,Number,2759
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Assisting relative,Number,77
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Unemployed looking for first regular job,Number,12
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Unemployed having lost or given up previous job,Number,704
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Student or pupil,Number,35
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Looking after home/family,Number,1811
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Retired,Number,411
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Unable to work due to permanent sickness or disability,Number,458
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,45 - 64 years,Other economic status,Number,63
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,All persons aged 15 years and over,Number,1811
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Employer or own account worker,Number,86
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Employee,Number,64
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Assisting relative,Number,11
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Unemployed looking for first regular job,Number,0
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Unemployed having lost or given up previous job,Number,8
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Student or pupil,Number,1
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Looking after home/family,Number,423
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Retired,Number,1161
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Unable to work due to permanent sickness or disability,Number,49
Carers Aged 15 Years And Over,2011,Both sexes,29-42 hours unpaid help per week,65 years and over,Other economic status,Number,8
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,All persons aged 15 years and over,Number,39820
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Employer or own account worker,Number,2352
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Employee,Number,9103
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Assisting relative,Number,377
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Unemployed looking for first regular job,Number,113
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Unemployed having lost or given up previous job,Number,3196
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Student or pupil,Number,500
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Looking after home/family,Number,14796
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Retired,Number,6646
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Unable to work due to permanent sickness or disability,Number,1981
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,All ages,Other economic status,Number,756
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,All persons aged 15 years and over,Number,838
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Employer or own account worker,Number,6
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Employee,Number,151
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Assisting relative,Number,9
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Unemployed looking for first regular job,Number,43
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Unemployed having lost or given up previous job,Number,143
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Student or pupil,Number,277
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Looking after home/family,Number,158
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Retired,Number,1
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Unable to work due to permanent sickness or disability,Number,25
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,15 - 24 years,Other economic status,Number,25
Carers Aged 15 Years And Over,2011,Both sexes,43 or more hours unpaid help per week,25 - 44 years,All persons aged 15 years and over,Number,11231
